Material Type,E (GPa),ν,ρ (kg/m³),Tensile Strength (MPa),Young's Modulus,Altitude (m),Temperature (°C),Pressure (Pa),Operational Life (years),Wing Span (m),Fuselage Length (m),Structural Thickness (mm),Structural Shape,Load Distribution,Vibration Damping,Computational Time,Weight Efficiency,Quantum Algorithm Type,Number of Iterations,Optimization Time (sec)
Aluminum,185.70,0.3077,2730.71,1423.89,91.17,15599.66,-57.43,148360.11,37,33.20,64.90,13.69,Tapered,point load,Low,Short,Excellent,Chaotic Quantum Genetic,1568,146.85
Titanium,59.85,0.3091,1969.67,467.44,88.16,12086.88,-40.73,168254.94,32,36.63,62.94,9.55,Cylindrical,point load,High,Long,Poor,Shark Optimizer,1764,107.07
Carbon Fiber,136.37,0.3469,3659.14,961.16,55.90,19366.24,-43.58,161654.15,27,36.06,56.81,5.03,Tapered,distributed,Low,Long,Good,Chaotic Quantum Genetic,1707,148.14
Aluminum,103.14,0.3111,3377.90,1432.13,53.72,15975.65,-54.26,143375.99,25,58.47,30.48,9.81,Cylindrical,distributed,High,Long,Good,Chaotic Quantum Genetic,1394,72.46
Titanium,182.44,0.3091,2864.28,890.21,74.42,16230.45,-48.65,156734.12,28,42.15,58.32,8.72,Rectangular,uniform,Medium,Medium,Excellent,Shark Optimizer,1523,98.34
Carbon Fiber,154.92,0.3420,3512.67,945.32,61.25,18945.67,-45.12,159876.34,30,38.94,61.45,6.78,Cylindrical,point load,Low,Short,Good,Chaotic Quantum Genetic,1645,134.56
Aluminum,168.45,0.3095,2895.43,1389.45,88.92,14456.78,-52.34,145678.90,36,35.67,63.21,12.45,Tapered,distributed,High,Long,Excellent,Shark Optimizer,1834,121.45
Titanium,95.34,0.3088,2156.34,678.45,79.56,13456.23,-41.23,170234.56,26,37.89,59.45,7.92,Rectangular,uniform,Low,Medium,Good,Chaotic Quantum Genetic,1456,89.76
Carbon Fiber,122.67,0.3456,3745.23,987.65,52.34,20123.45,-44.56,162345.67,28,39.23,64.12,5.67,Tapered,point load,Moderate,Long,Good,Shark Optimizer,1689,141.23
Aluminum,175.23,0.3102,2954.56,1456.78,92.14,16789.34,-55.67,147890.23,38,32.45,65.78,14.23,Cylindrical,distributed,High,Short,Excellent,Chaotic Quantum Genetic,1923,155.67
