Material Type,E (GPa),ν,ρ (kg/m³),Tensile Strength (MPa),Young’s Modulus,Altitude (m),Temperature (°C),Pressure (Pa),Operational Life (years),Wing Span (m),Fuselage Length (m),Structural Thickness (mm),Structural Shape,Load Distribution,Vibration Damping,Computational Time,Weight Efficiency,Durability,Quantum Algorithm Type,Number of Iterations,Optimization Time (sec)
Aluminum,185.69674587216923,0.3077091076893067,2730.710453347573,1423.8896628761486,91.17299288446213,15599.655147919875,-57.4316753428427,148360.10745115433,37,33.200714738611765,64.8981493428567,13.688270591376993,Tapered,point load,Low,Short,Excellent,Low,Chaotic Quantum Genetic,1568,146.8483625712404
Titanium,59.852396308551285,0.3091065976511747,1969.6701047524516,467.4422250027577,88.16186018969657,12086.883847255816,-40.72602152301445,168254.942831212,32,36.628837375854935,62.93773388897836,9.550246323730573,Cylindrical,point load,High,Long,Poor,High,Shark Optimizer,1764,107.07157146961171
Carbon Fiber,136.37391806872313,0.34693239807717946,3659.13911868068,961.1634225571677,55.89916627958678,19366.24386815015,-43.5763296690442,161654.15233261226,27,36.06081428096664,56.812967861996306,5.026259803862095,Tapered,distributed,Low,Long,Good,Medium,Chaotic Quantum Genetic,1707,148.14485133157285
Aluminum,103.1404688671567,0.3110803842093607,3377.9041546502604,1432.1332098388214,53.71812348404767,15975.653098448489,-54.26445040826743,143375.9981752317,25,58.4709309292062,30.477116063096545,9.812850176901676,Cylindrical,distributed,High,Long,Good,High,Chaotic Quantum Genetic,1394,72.46312572695285
Aluminum,136.73238012505152,0.3081743106150689,1859.5278067829097,1448.2940589146617,86.93776881689828,6948.7164403823535,-41.03878977021339,100397.4035199826,31,51.21656851915226,30.515037835310714,10.85505636634123,Tapered,point load,High,Medium,Poor,High,Chaotic Quantum Genetic,630,72.55489227802586
Aluminum,142.8293261707048,0.3458692800681361,3835.2676659121353,289.3948599331531,95.37520858635656,6431.227665179744,-56.159318961767795,176977.5145553468,31,20.01907763119695,65.65169341994012,9.711056981697059,Rectangular,uniform,Moderate,Long,Good,Medium,Chaotic Quantum Genetic,845,66.4723509826728
Aluminum,180.05288793830337,0.32605954095794687,2165.6654187122276,394.8236151465794,97.23435223482802,12975.196444997844,-40.785178256254,122496.84181779732,22,25.641439302803906,54.93476557528503,8.580532219920899,Cylindrical,distributed,Low,Short,Poor,High,Chaotic Quantum Genetic,1443,57.438959985958036
Carbon Fiber,95.46567932146925,0.3364791446443523,2381.1918865021908,918.3375262560851,77.54490562644108,6402.932149851687,-59.083534493517206,116094.72773801848,23,27.641114172579595,45.86597969323207,6.396295653522422,Rectangular,point load,Moderate,Medium,Poor,Medium,Shark Optimizer,1304,136.93256390334258
Titanium,193.33211000100965,0.3156223201252317,3843.9773642084233,832.5522183002187,81.40322335846595,16974.39460676098,-53.134688761511086,135539.80502332433,21,34.657051875464425,39.971821209190765,14.578870208967704,Tapered,uniform,High,Long,Good,Medium,Shark Optimizer,1124,107.67952920733637
Carbon Fiber,125.09339497884484,0.3270695448715915,3931.5677282158986,312.18376766009476,95.11438172512086,18428.346563804655,-59.113182716605884,189515.1590988675,37,23.55874400288851,39.89937025072916,12.239644803414784,Rectangular,distributed,Low,Medium,Excellent,Low,Chaotic Quantum Genetic,1195,128.01889520720465
Titanium,99.76197200379667,0.34219971494269685,3802.213663300717,1337.0312986856434,53.21965321919042,19718.0400014506,-45.667662622288994,139306.78626462014,38,37.87467910718959,49.995736339287646,14.680648659535029,Rectangular,uniform,Low,Medium,Good,Medium,Chaotic Quantum Genetic,1442,79.20082571877944
Aluminum,143.3125873666309,0.33993219975926603,2850.5786094242585,305.1293941720374,95.47654637704724,5193.101067257328,-43.569465368927624,123778.86047837434,20,58.871074482020546,64.763644877599,12.510552252342098,Rectangular,point load,High,Long,Excellent,Medium,Shark Optimizer,541,104.87086654280625
Aluminum,173.97208316924662,0.3297927846604411,4088.694664139886,1214.612784553235,61.21369420983725,14942.473259534878,-58.933154133216995,128046.04910270477,34,21.713714162745298,67.39587736930224,6.02060881973955,Tapered,point load,Low,Long,Poor,Low,Chaotic Quantum Genetic,1798,60.48475132088802
Carbon Fiber,164.39280107764,0.30160684458813486,3323.080303973813,969.0195401697008,70.37974658006833,16548.358714079353,-52.32338621879984,122355.92154472703,32,30.288172070395376,65.38914330024781,8.442654498895124,Tapered,point load,Moderate,Medium,Good,Low,Shark Optimizer,1037,58.774870860473825
Titanium,91.1591724557606,0.30021029872451355,1664.390825278095,261.2468675518519,87.61404538127476,7737.665305560045,-46.40778002720175,126644.23663043186,23,45.94479356094932,66.08393823328004,5.928445821198167,Tapered,point load,Low,Short,Poor,Medium,Shark Optimizer,1396,72.30942096323649
Carbon Fiber,165.1022287916304,0.3008221710583374,3555.2175899344197,831.5213387322339,88.05938513150673,15200.805232377954,-56.678938895369924,187245.15496293193,35,41.175028567582096,59.846477301936716,11.369122049991104,Rectangular,point load,High,Long,Poor,Low,Chaotic Quantum Genetic,1181,67.18012070543091
